order,depth,ctop,crfact,nbdiv,cpfact,nbmin,N,NB,nprow,npcol,wtime,Gflops
R,0,0,R,2,L,2,34,4,1,1,0.00,1.9435e-01
R,0,0,R,2,L,4,34,4,1,1,0.00,2.0153e-01
R,0,0,R,2,C,2,34,4,1,1,0.00,1.9772e-01
R,0,0,R,2,C,4,34,4,1,1,0.00,2.2175e-01
R,0,0,R,2,R,2,34,4,1,1,0.00,2.0171e-01
R,0,0,R,2,R,4,34,4,1,1,0.00,2.2379e-01
R,0,0,L,2,L,2,35,1,1,1,0.00,6.7129e-02
R,0,0,L,2,L,4,35,1,1,1,0.00,9.2721e-02
R,0,0,L,2,C,2,35,1,1,1,0.00,9.3944e-02
R,0,0,L,2,C,4,35,1,1,1,0.00,8.4499e-02
R,0,0,L,2,R,2,35,1,1,1,0.00,8.7625e-02
R,0,0,L,2,R,4,35,1,1,1,0.00,9.4177e-02
R,0,0,C,2,L,2,35,1,1,1,0.00,8.4321e-02
R,0,0,C,2,L,4,35,1,1,1,0.00,9.4317e-02
R,0,0,C,2,C,2,35,1,1,1,0.00,9.3714e-02
R,0,0,C,2,C,4,35,1,1,1,0.00,6.6024e-03
R,0,0,C,2,R,2,35,1,1,1,0.00,3.9032e-02
R,0,0,C,2,R,4,35,1,1,1,0.00,8.5541e-02
R,0,0,R,2,L,2,35,1,1,1,0.00,9.0812e-02
R,0,0,R,2,L,4,35,1,1,1,0.00,9.3908e-02
R,0,0,R,2,C,2,35,1,1,1,0.00,9.4299e-02
R,0,0,R,2,C,4,35,1,1,1,0.00,9.2813e-02
R,0,0,R,2,R,2,35,1,1,1,0.00,9.0311e-02
R,0,0,R,2,R,4,35,1,1,1,0.00,8.1995e-02
R,0,0,L,2,L,2,35,2,1,1,0.00,1.0013e-01
R,0,0,L,2,L,4,35,2,1,1,0.00,1.1493e-01
R,0,0,L,2,C,2,35,2,1,1,0.00,8.9680e-02
R,0,0,L,2,C,4,35,2,1,1,0.00,1.1795e-01
R,0,0,L,2,R,2,35,2,1,1,0.00,1.0566e-01
R,0,0,L,2,R,4,35,2,1,1,0.00,9.3130e-02
R,0,0,C,2,L,2,35,2,1,1,0.00,1.1726e-01
R,0,0,C,2,L,4,35,2,1,1,0.00,1.3278e-01
R,0,0,C,2,C,2,35,2,1,1,0.00,1.5049e-01
R,0,0,C,2,C,4,35,2,1,1,0.00,1.5524e-01
R,0,0,C,2,R,2,35,2,1,1,0.00,1.5735e-01
R,0,0,C,2,R,4,35,2,1,1,0.00,1.5796e-01
R,0,0,R,2,L,2,35,2,1,1,0.00,1.5458e-01
R,0,0,R,2,L,4,35,2,1,1,0.00,1.5590e-01
R,0,0,R,2,C,2,35,2,1,1,0.00,1.5466e-01
R,0,0,R,2,C,4,35,2,1,1,0.00,1.2592e-01
R,0,0,R,2,R,2,35,2,1,1,0.00,1.1974e-01
R,0,0,R,2,R,4,35,2,1,1,0.00,1.5710e-01
R,0,0,L,2,L,2,35,3,1,1,0.00,1.5727e-01
R,0,0,L,2,L,4,35,3,1,1,0.00,1.9626e-01
R,0,0,L,2,C,2,35,3,1,1,0.00,1.4925e-01
R,0,0,L,2,C,4,35,3,1,1,0.00,1.9950e-01
R,0,0,L,2,R,2,35,3,1,1,0.00,1.7769e-01
R,0,0,L,2,R,4,35,3,1,1,0.00,4.9433e-02
R,0,0,C,2,L,2,35,3,1,1,0.00,7.4242e-02
R,0,0,C,2,L,4,35,3,1,1,0.00,1.1458e-01
R,0,0,C,2,C,2,35,3,1,1,0.00,1.5761e-01
R,0,0,C,2,C,4,35,3,1,1,0.00,2.0036e-01
R,0,0,C,2,R,2,35,3,1,1,0.00,1.7738e-01
R,0,0,C,2,R,4,35,3,1,1,0.00,2.0308e-01
R,0,0,R,2,L,2,35,3,1,1,0.00,1.7677e-01
R,0,0,R,2,L,4,35,3,1,1,0.00,1.9953e-01
R,0,0,R,2,C,2,35,3,1,1,0.00,1.7877e-01
R,0,0,R,2,C,4,35,3,1,1,0.00,2.0261e-01
R,0,0,R,2,R,2,35,3,1,1,0.00,1.5303e-01
R,0,0,R,2,R,4,35,3,1,1,0.00,2.0187e-01
R,0,0,L,2,L,2,35,4,1,1,0.00,2.0247e-01
R,0,0,L,2,L,4,35,4,1,1,0.00,2.3115e-01
R,0,0,L,2,C,2,35,4,1,1,0.00,1.8443e-01
R,0,0,L,2,C,4,35,4,1,1,0.00,2.3692e-01
R,0,0,L,2,R,2,35,4,1,1,0.00,2.1326e-01
R,0,0,L,2,R,4,35,4,1,1,0.00,2.4175e-01
R,0,0,C,2,L,2,35,4,1,1,0.00,2.0788e-01
R,0,0,C,2,L,4,35,4,1,1,0.00,2.2998e-01
R,0,0,C,2,C,2,35,4,1,1,0.00,1.9792e-01
R,0,0,C,2,C,4,35,4,1,1,0.00,2.3707e-01
R,0,0,C,2,R,2,35,4,1,1,0.00,2.1214e-01
R,0,0,C,2,R,4,35,4,1,1,0.00,2.4277e-01
R,0,0,R,2,L,2,35,4,1,1,0.00,2.0522e-01
R,0,0,R,2,L,4,35,4,1,1,0.00,1.2174e-01
R,0,0,R,2,C,2,35,4,1,1,0.00,1.5358e-01
R,0,0,R,2,C,4,35,4,1,1,0.00,1.4914e-01
R,0,0,R,2,R,2,35,4,1,1,0.00,1.4012e-01
R,0,0,R,2,R,4,35,4,1,1,0.00,2.3101e-01
